TI.08.02,Sosialisasi dan Diseminasi
TI.08.03,Pejabat Pengelola Informasi dan Dokumentasi (PPID)
TI.08.04,Badan Koordinasi Hubungan Masyarakat (Bakohumas)
TI.08.05,Peliputan
TI.08.06,Konferensi Pers
TI.08.07,Siaran Pers
TI.09,Dokumentasi
TI.09.01,"Produk Informasi (Media Cetak, Elektronik, Media Sosial)"
TI.09.01,"Film, Foto, Video Grafis, Narasi Tunggal Media Massa Elektronik,"
TI.09.01,"Info Grafis (Poster, Banner), Surat Penyerahan (Bingkai Foto),"
TI.09.01,"Konten Video Revolusi Media Digital, dan Konten Media Sosial"
TI.09.02,Rekapitulasi Pemberitaan
PK,Pemasyarakatan
PK.01,Pelayanan Pemasyarakatan
PK.01.01,Registrasi Tahanan dan Anak
PK.01.01,Naskah yang berkaitan dengan kegiatan:
PK.01.01,pemeriksaan kelengkapan dokumen serta berkas Tahanan yang diberikan oleh Kejaksaan dan Kepolisian;
PK.01.01,pencatatan penerimaan Tahanan di Rutan dan Anak di Lembaga
PK.01.01,Penempatan Anak Sementara (LPAS) yang terdiri dari pembuatan
PK.01.01,"surat perintah atau surat penetapan Tahanan dan Anak, pembuatan biodata diri, dan data barang bawaan Tahanan dan"
PK.01.01,Anak;
PK.01.01,pemeriksaan Kesehatan;
PK.01.01,pembuatan pas foto;
PK.01.01,pembuatan sidik jari/dokumentasi sidik jari; dan
PK.01.01,pembuatan berita acara serah terima tahanan.
PK.01.02,Registasi Narapidana dan Anak Binaan
PK.01.02,Naskah yang berkaitan dengan kegiatan:
PK.01.02,"pemeriksaan kelengkapan dokumen serta berkas Narapidana dan Anak Binaan yang diberikan oleh Kejaksaan, Pengadilan, dan"
PK.01.02,Kepolisian;
PK.01.02,"pencatatan penerimaan Narapidana dan Anak Binaan di Lapas yang terdiri dari pembuatan surat perintah atau surat penetapan Narapidana dan Anak Binaan, pembuatan biodata diri, dan data barang bawaan Narapidana dan Anak Binaan;"
PK.01.02,pemeriksaan Kesehatan;
PK.01.02,pembuatan pas foto;
PK.01.02,pembuatan sidik jari/dokumentasi sidik jari; dan
PK.01.02,pembuatan berita acara serah terima Narapidana.
PK.01.03,Registrasi Klien Pemasyarakatan
PK.01.03,Naskah yang berkaitan dengan kegiatan:
PK.01.03,Pemeriksaan kelengkapan dokumen serta berkas
PK.01.03,Tahanan/Narapidana/Klien Pemasyarakatan yang diberikan oleh
PK.01.03,Kejaksaan dan Kepolisian;
PK.01.03,Pencatatan penerimaan Tahanan/Narapidana/Klien Pemasyarakatan di Rutan/Lapas/Bapas yang terdiri dari pembuatan surat perintah atau surat penetapan
PK.01.03,"Tahanan/Narapidana/Klien Pemasyarakatan, pembuatan biodata diti, data barang bawaan Tahanan/ Narapidana/Klien"
PK.01.03,Pemasyarakatan;
PK.01.03,Pemeriksaan Kesehatan;
PK.01.03,Pembuatan pas foto;
PK.01.03,Pembuatan sidik jari/dokumentasi sidik jari; dan
